
LES ESSARDS;791;9
MONTAGNY;790;64
COMMENSACQ;790;142
ST SULPICE DE ROYAN;790;64
ROUSSET;789;55
GASTES;789;267
ST AUBIN DE MEDOC;788;118
BOIS D AMONT;788;214
VERGEROUX;787;61
FOURQUES;785;140
CLERMONT;784;36
ST ANTOINE;784;19
THAIRE;784;60
LOUVIGNY;781;16
POLIGNY;779;16
VENDAYS MONTALIVET;779;263
ST LAURENT MEDOC;777;152
SALLES SUR MER;777;61
GROSBREUIL;775;107
HOURTIN;775;270
MARCHEPRIME;774;63
CERNAY;774;43
BREHAL;772;197
REVEL;772;110
NAUJAC SUR MER;772;245
PORT DES BARQUES;771;81
VALMEINIER;771;149
SAUJON;771;68
VALLOIRE;769;173
THEZAC;769;14
ST ROMAIN;768;7
ST AVAUGOURD DES LANDES;767;83
ST TROJAN LES BAINS;766;247
COUQUEQUES;766;64
COULONGES;765;3
LA TOUR EN MAURIENNE;764;176
TANIS;763;118
ROSIERES;762;9
MONSEGUR;762;10
MONTIGNY;761;5
CORME ECLUSE;760;53
PIERREFITTE;759;3
MONTREUIL;757;13
ST GERMAIN DES PRES;757;12
BEAUVOISIN;756;106
MAIZIERES;756;17
UZA;755;187
BISCARROSSE;754;232
LE CHATELLIER;754;99
NEVACHE;754;147
ST CLAIR;754;6
LE GIROUARD;754;103
LES MATHES;753;246
MAUGUIO;752;194
CAISSARGUES;750;116
PLANAY;750;166
VESTRIC ET CANDIAC;749;121
ST SEURIN DE CADOURNE;749;77
ST NAZAIRE SUR CHARENTE;748;22
GAJAN;748;48
SAUZET;747;34
CHATEAUDOUBLE;747;79
ST VICTOR;747;7
ST AGNANT;743;10
CESTAS;743;101
SOUBISE;740;32
JACOU;740;108
CHATEAUROUX LES ALPES;739;147
VILLENEUVE LES MAGUELONE;739;188
POIROUX;738;93
BEAUFORT;738;11
MARSEILLAN;738;158
GEAY;738;5
ST ARNOULT;737;53
ST NICOLAS LA CHAPELLE;736;62
LIT ET MIXE;736;243
COURCY;735;24
POMMIERS;735;23
BOURCEFRANC LE CHAPUS;734;58
URVILLE;733;7
TRENSACQ;732;131
BOUZIGUES;732;178
LES AVANCHERS VALMOREL;730;167
ANGLIERS;729;7
LABOUHEYRE;729;96
ANAIS;726;10
CASTELNAU LE LEZ;726;103
TALMONT ST HILAIRE;725;197
ST FORT SUR GIRONDE;725;16
VITROLLES;724;22
STE GENEVIEVE;722;53
VAIRE;722;78
PONTENX LES FORGES;722;112
ST DENIS D OLERON;721;245
NOTRE DAME DE BELLECOMBE;720;166
GUJAN MESTRAS;720;178
ST SIMON;720;0
GAUJAC;720;9
CHATILLON;718;12
CHAILLEVETTE;718;55
MARSILLY;718;14
ST VALLIER;717;6
LACOSTE;717;11
COHENNOZ;717;119
ST PANCRACE;717;5
LACANAU;716;279
LANSARGUES;716;127
TAURIAC;715;1
ST GERVASY;714;100
LA JARRIE;714;31
ST ALBAN;714;65
BIRON;713;9
MIRABEAU;712;23
FAVEROLLES;712;13
PREAUX;712;3
MONTESQUIEU;712;13
ST JEAN D ARVES;712;76
POUILLE;711;4
ECHILLAIS;711;16
VIRY;710;10
BLAIGNAN PRIGNAC;710;9
ST MARTIN SUR LA CHAMBRE;709;129
BRACH;708;137
MAISONS;707;84
ALBIEZ MONTROND;707;132
BOURGNEUF;707;8
LA MOTTE;707;97
ST ANDRE D EMBRUN;706;158
JONQUIERES ST VINCENT;705;133
LE BARP;704;79
REDESSAN;704;83
LA FERRIERE;704;68
VAUVERT;704;183
GALLARGUES LE MONTUEUX;703;91
ST PRIVAT;702;6
GRUES;701;47
LA GRAVE;700;136
LE PORGE;700;248
CLARET;700;9
MARSILLARGUES;700;143
ST SORLIN D ARVES;700;115
BRAINVILLE;699;128
LE CASTELLET;699;58
LA CHAUX;698;3
CHATEAUVIEUX;698;7
CORCOUE SUR LOGNE;697;136
ST CHAFFREY;697;110
BIGANOS;697;70
ST PAUL EN BORN;697;140
MEGEVE;697;163
ORMES;696;23
POILLEY;696;6
LA FLOTTE;696;60
YQUELON;696;173
MORCENX LA NOUVELLE;695;158
PUY ST PIERRE;695;103
ST GUINOUX;693;123
PUY ST VINCENT;693;128
RAVILLOLES;692;132
VILLENEUVE EN RETZ;692;132
BARJAC;691;3
VENDARGUES;691;65
TRIAIZE;691;18
PONTORSON;690;109
CHAUX NEUVE;690;162
ARCACHON;689;253
CODOGNAN;689;96
VILLARD SUR DORON;688;153
PETIVILLE;685;90
AULNAY;685;3
PIERRERUE;685;17
BANNES;684;23
VAUJANY;684;130
BREUIL MAGNE;683;13
PAULX;683;111
ST JEAN LE THOMAS;682;88
VOUHE;682;4
LAVALETTE;681;15
BAGNEUX;681;7
FOURS;680;2
MORNAC SUR SEUDRE;680;25
GORGES;680;21
CHATENAY;680;9
ST MARTIN DE RE;680;61
TRIZAY;680;37
CUSSAC FORT MEDOC;679;9
LA TESTE DE BUCH;679;245
BAILLARGUES;679;75
MONTAUD;678;7
MONTFERRAT;676;37
THENAC;676;2
ST VINCENT;676;19
LA SALLE LES ALPES;676;72
AUBORD;676;83
NIEUL LE DOLENT;676;67
ST REVEREND;675;122
RIVIERES;674;13
L ILE D OLONNE;674;171
AUBIGNY;674;8
SALLERTAINE;674;127
BASSENS;674;2
ARS EN RE;673;212
ST ANDRE DES EAUX;673;76
LAC DES ROUGES TRUITES;672;130
ST GERMIER;670;12
GENOUILLE;670;10
ASPREMONT;670;80
ALLEMOND;669;112
MONTAURIOL;669;4
ARTIGUES;669;26
PEROLS;668;166
LES LOGES;667;76
BEAUGEAY;667;9
BOUILLARGUES;667;66
ST MAURICE;667;6
LES ALLIES;666;174
MEZE;666;133
ST JEANNET;666;56
MONTEILS;666;30
CANDILLARGUES;666;120
LA JONCHERE;666;37
FENIOUX;665;1
JUILLE;665;1
MILHAUD;665;70
BOISSIERES;664;3
ST MARD;664;7
LATTES;664;87
ST PAIR SUR MER;664;152
MORBIER;664;84
MONT DAUPHIN;664;147
SOUVIGNE;662;3
LA GRANDE MOTTE;662;184
GIGEAN;662;113
ST BENOIST SUR MER;661;52
ST URBAIN;660;121
ANCTOVILLE SUR BOSCQ;660;108
MOUTIERS LES MAUXFAITS;660;59
VERSONNEX;660;9
REIGNAC;659;1
CHATEAUNEUF D ILLE ET VILAINE;659;103
AUCEY LA PLAINE;659;129
VILLARODIN BOURGET;659;154
LOUPIAN;658;130
PONTARLIER;658;181
LE BOSC;657;52
LES VILLEDIEU;657;155
VILLAR ST PANCRACE;657;146
NOZAY;655;6
BRICQUEVILLE SUR MER;655;139
ST AUNES;654;104
BERNIS;654;69
ST JOUAN DES GUERETS;654;145
REOTIER;653;98
LA ROCHE DE RAME;652;115
MAROLLES;652;11
STE FLAIVE DES LOUPS;652;77
ST THIBERY;650;122
PIERREPONT;650;44
LEGE CAP FERRET;649;231
BRIANCON;649;129
MAZAUGUES;649;161
ROCHEBRUNE;648;3
SEGONZAC;648;3
HAUTEVILLE;648;10
MONTVERNIER;647;76
ST PARGOIRE;647;130
L ARGENTIERE LA BESSEE;646;79
ST JEAN DE VEDAS;646;73
MURON;646;47
BALARUC LES BAINS;645;157
ST BENOIT;645;17
MAGLAND;645;138
ST HILAIRE DU BOIS;644;4
EPARGNES;644;7
LOUPIAC;643;9
ESCOURCE;643;77
MOURIES;643;109
BLANQUEFORT;643;5
SAUGNAC ET MURET;643;18
CANET;643;12
GRABELS;642;69
LAJOUX;642;161
PASSY;642;42
ST ETIENNE DU BOIS;642;5
LAVERUNE;641;76
LES ACHARDS;641;98
AULON;641;74
SIGOYER;641;14
PONT L ABBE D ARNOULT;641;23
ST CHRISTOLY MEDOC;639;12
ST CYR;639;20
AIMARGUES;637;92
CLAVETTE;636;9
MARSAC;636;5
CROIX CHAPEAU;636;6
MANDUEL;636;97
VERGEZE;635;54
CASTELNAU DE GUERS;635;106
FONTCOUVERTE;634;4
ST AUBIN DES PREAUX;634;99
MIREVAL;634;93
BEAUPUY;633;9
BRASSAC;633;36
ST CYPRIEN;632;37
ROCHEJEAN;632;154
AUGE;632;28
ST VINCENT DE PAUL;631;9
COURNONSEC;631;77
VIC LA GARDIOLE;631;153
ONESSE LAHARIE;630;98
NALLIERS;630;11
LES VIGNEAUX;630;75
CHARMES;629;10
ST BROLADRE;629;39
SELLES;628;23
LE BOUCHET MONT CHARVIN;627;90
PALAVAS LES FLOTS;627;174
AIGREMONT;627;8
MEURSAC;627;1
GRANGES NARBOZ;626;116
VIELLE ST GIRONS;626;217
MONTPERREUX;625;124
ST ETIENNE DE MER MORTE;625;90
ALLONS;625;15
JARD SUR MER;624;182
CHAPPES;624;5
FOS SUR MER;623;170
PRECHAC;623;22
ST MELOIR DES ONDES;622;134
LASSERRE;622;30
ARLES;622;161
VIX;622;7
COMMEQUIERS;621;104
TERNANT;621;5
LA PLAGNE TARENTAISE;621;140
LA CHAPELLE HERMIER;621;93
JUVIGNY;621;19
COMBLOUX;620;132
ST FRANCOIS LONGCHAMP;620;108
LA LIMOUZINIERE;620;109
VARZAY;620;38
LONGCHAUMOIS;620;83
CIRE D AUNIS;619;17
ST MARTIN DE QUEYRIERES;619;67
RODILHAN;619;21
ST AVRE;619;72
ST OUEN D AUNIS;619;1
UCHAUD;618;65
MOUTHE;618;127
LOIRE LES MARAIS;617;2
MARIGNAC;617;4
CAMBES;616;3
ST XANDRE;616;2
BOIS DE CENE;616;91
MOUILLERON LE CAPTIF;615;85
STE SOULLE;614;6
ST APOLLINAIRE;614;35
CHARLEVAL;614;47
ST AGNAN;613;8
PERIGNAC;613;7
ENTRAIGUES;613;53
LES ANGLES;613;15
FALLERON;613;63
AUBERVILLE;613;161
PORCELETTE;612;125
VALERGUES;612;30
FABREGUES;612;72
ST YZANS DE MEDOC;612;5
ST MURY MONTEYMOND;612;103
FOS;611;83
LES HOPITAUX NEUFS;611;191
CROISILLES;611;5
LIGNAN SUR ORB;611;109
AZUR;611;173
LES GETS;611;132
MOUSSAC;610;16
HAUTELUCE;610;162
NAVES;610;4
SARTILLY BAIE BOCAGE;609;58
BESSAN;609;146
BONCOURT;609;6
LES FOURGS;609;176
LEON;609;170
BOUIN;608;137
NOTRE DAME DE RIEZ;608;111
LA COUTURE;608;9
CHATELUS;608;13
LES HOPITAUX VIEUX;608;147
COMBAILLAUX;607;79
ST CLEMENT SUR DURANCE;607;94
ST CAPRAIS;607;4
FONS;606;3
VILLERS LE SEC;606;9
MONTPELLIER;605;36
CASTELNAU DE MEDOC;604;45
THEYS;604;110
ORELLE;604;66
LA FRESNAIS;604;73
SAILLY;604;15
MACHECOUL ST MEME;603;114
ST AUBIN SUR MER;603;184
ORIGNE;603;5
LA CLUSE ET MIJOUX;602;131
TAILLEBOURG;602;1
MOLIETS ET MAA;601;225
COURS;601;2
ENTRECASTEAUX;601;101
FONTVIEILLE;600;112
ST SYLVAIN;600;76
AVEZE;600;7
SOUSSANS;600;3
BOISSET;599;8
JUILLAC;599;9
CANCALE;599;171
AUREL;599;20
MIEUSSY;599;122
MIRAMBEAU;599;2
VARAVILLE;598;116
CURZON;598;7
CERVIERES;597;118
ST MICHEL CHEF CHEF;596;131
GARRIGUES;596;9
PERIERS EN AUGE;595;87
ST LAURENT D AIGOUZE;595;177
BELVAL;595;10
ST PRIEST;595;3
AIGUES MORTES;595;167
LE BOURG D OISANS;595;92
CHAMPCELLA;595;76
FONTENAY;595;21
SABLONCEAUX;594;7
GONNEVILLE SUR MER;594;113
CHAUMES EN RETZ;594;106
OYE ET PALLET;593;88
MARSAS;593;22
ST DIZANT DU GUA;593;37
FAUCON DE BARCELONNETTE;593;126
ILE D AIX;593;56
CUVERVILLE;592;24
ST CHRISTOPHE EN OISANS;592;80
LE FENOUILLER;592;130
ST SULPICE D ARNOULT;592;6
STE ANNE;591;6
ST MATHURIN;591;101
TARASCON;591;60
AIGREFEUILLE D AUNIS;591;5
ST LAURENT EN GRANDVAUX;591;66
ST GEORGES DU BOIS;591;2
ST CLAUDE;590;97
LAGORD;590;9
COURCHEVEL;589;132
AUSSOIS;589;160
GENSAC;588;13
SERRES;588;12
ST JEAN DES CHAMPS;588;75
ST SERNIN;588;6
LA MARNE;588;58
MOUTIERS;588;12
EMBRUN;587;59
VILLEDIEU;587;0
LA GOUESNIERE;586;80
DOUBS;586;110
CERS;586;130
ST BENOIT DES ONDES;586;108
VAILLY;586;36
LEGE;586;26
L HOPITAL;586;130
LE THOU;586;35
VERNEUIL;586;4
LUNEL;586;44
ST MARTIN D ARC;585;65
ST MARTIN DES CHAMPS;585;11
BRIGNAC;585;12
MONESTIER;585;4
AUMELAS;585;56
MOUSTEY;584;12
NIZAS;584;49
VENTEROL;584;2
GER;584;10
LA RIVIERE ENVERSE;584;138
ST CLEMENT DES BALEINES;583;185
AVANCON;583;30
ST LUNAIRE;583;176
CASTRIES;583;41
BALARUC LE VIEUX;583;92
CREVOUX;582;117
MORAGNE;582;43
COURNONTERRAL;582;39
PUILBOREAU;582;4
ST PERE MARC EN POULET;581;89
MARTHOD;580;63
ESNANDES;580;12
PAILHES;580;38
FAVIERES;580;24
MAUSSANE LES ALPILLES;580;77
LUCEY;580;7
TRANS EN PROVENCE;580;117
ST NAZAIRE DE PEZAN;579;76
ORMOY;579;9
ALBIEZ LE JEUNE;579;22
STE RADEGONDE DES NOYERS;578;5
LOIX;578;61
NANCHEZ;577;69
BACILLY;577;75
MEZOS;577;60
ROCLES;577;5
LE VAL;576;9
FOURNEAUX;576;66
LES ALLUES;575;109
ST ANDRE DE LIDON;575;4
CHILLY;575;37
LINGREVILLE;575;121
ST SORLIN DE CONAC;575;5
RIOUX;574;5
ABONDANCE;574;207
FONTAINE;573;4
BESSE SUR ISSOLE;573;115
VERCHAIX;573;153
FREISSINIERES;573;76
MONT;572;54
LE VIVIER SUR MER;572;55
LIGNE;572;8
STE MARIE DU MONT;572;8
DOMPIERRE SUR MER;571;1
LES PLANS;571;5
LE POIRE SUR VIE;571;71
LES BELLEVILLE;571;100
CAVEIRAC;571;40
CREST VOLAND;570;74
VILLERS SUR MER;570;115
VAL DES PRES;570;113
GRANDCHAMP;570;12
MONT DOL;570;47
TOURS EN SAVOIE;569;94
CHASNAIS;569;4
LE TRONCHET;568;6
LES MOUTIERS EN RETZ;568;68
BOUILLAC;568;10
LACHAPELLE;567;12
FORT DU PLASNE;567;100
VILLARD;567;31
VERNON;567;10
VIROLLET;567;15
ST ETIENNE DU GRES;567;71
ST ANDRONY;567;1
VILLARGONDRAN;566;23
LIGNEROLLES;566;11
EPIERRE;566;79
PIGNAN;566;33
AIGLUN;565;15
LA CHAPELLE BLANCHE;565;11
ST MARTIN LACAUSSADE;565;2
VILLEVEYRAC;565;54
LA CONDAMINE CHATELARD;564;105
LE CHAMP ST PERE;564;26
ST PRIX;564;6
TONNAY CHARENTE;564;16
FRENEY;563;87
LAGARDE;563;17
ST ROMAIN DE BENET;563;9
LONGEVILLES MONT D OR;562;123
MANE;561;15
MONTROND;561;11
PEAULT;561;26
ST MALO;561;158
MONTCLUS;561;5
VIVIERS;561;6
THAIMS;561;5
ST MARTIN DU MONT;560;6
CASTANET;560;13
LAROQUE;560;2
SAINS;560;43
QUINSAC;560;0
ST JEAN DE MONTS;559;159
CHAMPAGNE LES MARAIS;559;13
ST GENES DE BLAYE;559;3
LE MONETIER LES BAINS;559;38
CALLIAN;559;24
LES BORDES;559;2
FROIDFOND;558;66
FRESNES;558;6
MONTPELLIER DE MEDILLAN;558;23
PLEINE SELVE;558;8
MOLIERES;558;10
CLAPIERS;558;25
ST PONS DE MAUCHIENS;557;77
LE REPOSOIR;557;92
ROMEGOUX;557;1
ST VINCENT DE BARBEYRARGUES;557;41
LA BATHIE;557;106
LA RIXOUSE;557;74
LE GIVRE;557;1
VIEUX BOUCAU LES BAINS;557;211
PISSOS;557;13
JOUGNE;557;159
SOUDAN;556;7
CHATENOIS;555;13
FLUMET;555;56
ST JEAN D AULPS;555;138
CABARIOT;555;6
NANS LES PINS;555;105
SALLES D AUDE;555;133
LES GRAS;554;173
CEZAC;554;4
BRAUX;554;16
GREZES;554;9
HAUTERIVE LA FRESSE;553;100
SUBLIGNY;553;2
LA BARRE DE MONTS;553;145
VILLEDOUX;553;5
ST EUGENE;553;4
BRAUD ET ST LOUIS;553;1
ST JULIEN MONT DENIS;553;46
MARGAUX CANTENAC;552;4
